src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.57.1,224.0.0.251,5353,5353,17,2024-04-18 21:41:26,108574798.0,21.644065135631198,0.16578432869845172,0.16578432869845172,0.0,18,0,2350,0,225,79,130.55555555555554,39.788639113057584,0,0,0,0.0,225,79,130.55555555555554,39.788639113057584,1583.1358024691358,144,0,8,18,6386752.823529412,59826936.0,944791.0,13578700.589589838,108574798.0,59826936.0,944791.0,6386752.823529412,13578700.589589838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,130.55555555555554,0,0,57114246.0,2003784.0,15284379.0,21117600.610087994,56820315.0,58348.0,7279531.181818182,15776031.01984755,0,0,0,0,0,0,130.55555555555554,0,0,18,0,2350,0
192.168.57.139,224.0.0.251,5353,5353,17,2024-04-18 21:41:32,100509195.0,73.55545927912367,0.35817618477593016,0.35817618477593016,0.0,36,0,7393,0,769,75,205.36111111111111,228.8922784943192,0,0,0,0.0,769,75,205.36111111111111,228.8922784943192,52391.67515432098,288,0,8,36,2871691.285714286,29453434.0,53969.0,5638142.867631938,100509195.0,29453434.0,53969.0,2871691.285714286,5638142.867631938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,205.36111111111111,0,0,28935997.0,123494.0,5700331.636363637,8607934.113601318,27387726.0,53969.0,3128914.4285714286,6025672.531156893,0,0,0,0,0,0,205.36111111111111,0,0,36,0,7393,0
192.168.57.139,23.44.229.236,56694,80,6,2024-04-18 21:43:33,98321707.0,75.38518427065144,0.38648637375671274,0.20341388092458565,0.1830724928321271,20,18,2882,4530,477,60,144.1,166.4775960902848,943,54,251.66666666666666,369.2671420831025,943,54,195.05263157894737,286.4648363989458,82062.1024930748,400,360,20,19,2657343.4324324327,10243152.0,38.0,4319439.445665678,98321516.0,10243358.0,543.0,5174816.631578947,4827752.979267381,98301959.0,11098066.0,709.0,5782468.176470588,4873843.756168459,4,4,0,0,0,2,0,8,37,0,0,0.9,195.05263157894737,64240,64240,9052269.0,348.0,2834404.8,3219075.8315558457,10044946.0,19748.0,4067430.8333333335,4011244.9971297528,0,0,0,0,0,0,144.1,251.66666666666666,0,20,18,2882,4530
192.168.57.139,23.44.229.236,56696,80,6,2024-04-18 21:43:33,99090022.0,90.26135850489568,0.4238570055015226,0.22202033621508327,0.20183666928643934,22,20,3419,5525,477,60,155.4090909090909,174.43119484638402,943,54,276.25,384.48743477518224,943,54,212.95238095238096,299.95904104369794,89975.42630385487,440,400,20,21,2416829.8048780486,10243838.0,50.0,4169963.02866255,99089936.0,10243917.0,406.0,4718568.380952381,4805170.755307854,99070362.0,11023505.0,604.0,5214229.578947368,4900418.75374526,5,5,0,0,0,2,0,10,41,0,0,0.9090909090909091,212.95238095238096,64240,64240,8985015.0,2150.0,2488536.3333333335,3050574.110610147,9984528.0,19660.0,3594309.0,3899192.727573491,0,0,0,0,0,0,155.4090909090909,276.25,0,22,20,3419,5525
192.168.57.139,23.44.229.236,56702,80,6,2024-04-18 21:43:33,93968382.0,93.97841925170106,0.42567509569335776,0.22347942523901282,0.20219567045434494,21,19,3359,5472,477,60,159.95238095238096,177.25969009457935,943,54,288.0,391.07988146184476,943,54,220.775,305.34075125177776,93232.97437500002,420,380,20,20,2409445.6923076925,10242790.0,60.0,4138895.4005914535,93968163.0,10243134.0,395.0,4698408.15,4759476.203859037,93950151.0,11174382.0,729.0,5219452.833333333,4858936.514610604,5,5,0,0,0,2,0,10,39,0,0,0.9047619047619048,220.775,64240,64240,9128366.0,2859.0,3332187.6666666665,3476827.034215856,10119480.0,18231.0,4317507.571428572,4012445.209836439,0,0,0,0,0,0,159.95238095238096,288.0,0,21,19,3359,5472
192.168.57.139,23.44.229.236,56706,80,6,2024-04-18 21:43:33,99089924.0,90.29172330377406,0.4238574246963798,0.22202055579334182,0.201836868903038,22,20,3419,5528,477,60,155.4090909090909,174.43119484638402,943,54,276.4,384.7472417055124,943,54,213.02380952380952,300.13270779814957,90079.64229024944,440,400,20,21,2416827.4146341463,10243759.0,58.0,4175313.1571127893,99089789.0,10243913.0,289.0,4718561.380952381,4814273.167585464,99071760.0,11127944.0,613.0,5214303.157894737,4911918.343004281,5,5,0,0,0,2,0,10,41,0,0,0.9090909090909091,213.02380952380952,64240,64240,9089140.0,13593.0,2982973.8,3166104.122561758,10089264.0,15330.0,3143512.75,3866262.059369384,0,0,0,0,0,0,155.4090909090909,276.4,0,22,20,3419,5528
192.168.57.139,18.164.174.55,45458,443,6,2024-04-18 21:43:34,95686420.0,1058.8231851499932,1.348153687848286,0.45983536639786504,0.8883183214504211,44,85,18394,82921,1514,60,418.04545454545456,542.6833981808888,1514,54,975.5411764705882,663.9144621187133,1514,54,785.3875968992248,678.7789459909476,460740.8575205817,880,1700,20,43,747550.15625,10243133.0,0.0,2607224.9439367778,95686327.0,10243371.0,0.0,2225263.418604651,4116738.2741449354,95669575.0,11050875.0,2.0,1138923.511904762,3188918.979829624,9,27,0,0,0,2,0,36,128,0,0,1.9318181818181819,785.3875968992248,64240,64240,8956978.0,18960.0,1381334.25,2893941.483909175,9931968.0,9337.0,1773633.3333333333,3510217.7689526696,0,0,17665.0,12.5,0,9198125.488154126529549596459,418.04545454545456,975.5411764705882,0,44,85,18394,82921
192.168.57.139,18.164.174.55,45474,443,6,2024-04-18 21:43:34,95684603.0,1666.8407977822724,1.839376393712999,0.5330011140872895,1.3063752796257095,51,125,18813,140678,1514,60,368.88235294117646,518.8872576573542,1514,54,1125.424,597.7503193006258,1514,54,906.1988636363636,670.5079572089558,449580.9206805269,1020,2500,20,50,546769.16,10243177.0,0.0,2255261.2724002884,95684483.0,10243327.0,0.0,1913689.66,3896993.969591591,95666728.0,11041850.0,2.0,771505.8709677419,2677758.3873882033,9,41,0,0,0,2,0,50,175,0,0,2.450980392156863,906.1988636363636,64240,64240,8995933.0,6004.0,1023734.6363636364,2551717.7017658046,10017751.0,16817.0,1791163.75,3521938.6833206206,0,0,12240.0,8.571428571428571,0,16279688.39065171955158654760,368.88235294117646,1125.424,0,51,125,18813,140678
192.168.57.139,18.164.174.55,45486,443,6,2024-04-18 21:43:34,94661056.0,545.2717535709722,0.8979405427296311,0.35917621709185243,0.5387643256377787,34,51,13415,38201,1514,60,394.55882352941177,528.1575183473688,1514,54,749.0392156862745,695.900853902429,1514,54,607.2470588235294,657.4986451497085,432304.4683737024,680,1020,20,33,1126917.3333333333,10243226.0,0.0,3146373.9893749095,94660667.0,10243585.0,0.0,2868505.0606060605,4495036.094702675,94643257.0,11036268.0,2.0,1892865.14,3948833.4924546313,7,13,0,0,0,2,0,20,84,0,0,1.5,607.2470588235294,64240,64240,8989618.0,2751.0,1755180.1666666667,3277998.3789528436,9965631.0,6353.0,1887740.6363636365,3611558.631058197,0,0,8251.0,6.5,0,550066666.6666666666666666667,394.55882352941177,749.0392156862745,0,34,51,13415,38201
192.168.57.139,18.164.174.55,45492,443,6,2024-04-18 21:43:34,94660753.0,788.7112412891962,1.1197882611392285,0.4225616079770673,0.6972266531621611,40,66,13778,60882,1514,60,344.45,501.46136192133486,1514,54,922.4545454545455,683.2395689214325,1514,54,704.3396226415094,681.210976196379,464048.39409042365,800,1320,20,39,901530.9809523809,10243330.0,0.0,2848587.386880251,94660436.0,10243570.0,0.0,2427190.6666666665,4259657.841465207,94641244.0,11033027.0,2.0,1456019.1384615384,3553835.4205212924,7,19,0,0,0,2,0,26,105,0,0,1.65,704.3396226415094,64240,64240,8945633.0,10010.0,1504038.857142857,3077525.9726966415,9927396.0,5278.0,1730210.1666666667,3489022.8943890063,0,0,10086.0,7.333333333333333,0,31683769.63350785340314136126,344.45,922.4545454545455,0,40,66,13778,60882
192.168.57.139,192.168.57.2,51606,53,17,2024-04-18 21:43:34,98452246.0,17.267254624135237,0.20314417204864985,0.20314417204864985,0.0,20,0,1700,0,85,85,85.0,0.0,0,0,0,0.0,85,85,85.0,0.0,0.0,160,0,8,20,5181697.157894737,5252082.0,4998716.0,106651.95745249477,98452246.0,5252082.0,4998716.0,5181697.157894737,106651.95745249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,85.0,0,0,19192.0,3349.0,11270.5,7921.5,5005258.0,19911.0,1317406.75,2129800.831167245,0,0,0,0,0,0,85.0,0,0,20,0,1700,0
192.168.57.139,18.164.174.55,45496,443,6,2024-04-18 21:43:34,94639281.0,504.2937720543334,0.8453149596519018,0.3486924208564095,0.49662253879549234,33,47,11270,36456,1514,60,341.5151515151515,497.367501540474,1514,54,775.6595744680851,691.6646363786717,1514,54,596.575,654.8123543237406,428779.219375,660,940,20,32,1197965.582278481,10243449.0,0.0,3231307.88292108,94639107.0,10243635.0,0.0,2957472.09375,4535905.147112863,94618444.0,11035984.0,2.0,2056922.6956521738,4075855.9535711976,6,13,0,0,0,2,0,19,79,0,0,1.4242424242424243,596.575,64240,64240,8989567.0,519.0,1763940.3333333333,3272492.321417254,9965061.0,5970.0,1734828.5,3495680.0820720494,0,0,5300.0,4.0,0,588888888.8888888888888888889,341.5151515151515,775.6595744680851,0,33,47,11270,36456
