protocol,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,normal
17,16484.0,13831.59427,121.3297743,60.66488716,60.66488716,1,1,74,154,74,74,74.0,0.0,154,154,154.0,0.0,154,74,114.0,40.0,1600.0,8,8,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,114.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,154.0,0,1,1,74,154,normal
6,265893.0,30448.33824132264,90.2618722568853,45.13093612844265,45.13093612844265,12,12,1730,6366,723,60,144.16666666666666,183.74023027693804,1514,54,530.5,633.5940472153022,1514,54,337.3333333333333,504.8903896446788,254914.30555555556,240,240,20,11,11560.565217391304,123324.0,3.0,26033.35534476139,265893.0,123324.0,75.0,24172.090909090908,35681.44361239415,246891.0,167478.0,3.0,22444.636363636364,46406.38388739347,4,5,0,0,1,2,1,9,22,0,0,1.0,337.3333333333333,64240,64239,14820.0,5973.0,10396.5,4423.5,79339.0,5696.0,28823.4,25981.607014193716,0.0,0.0,0.0,0.0,0.0,0.0,144.16666666666666,530.5,0,12,12,1730,6366,normal
6,22853.0,23235.46143,350.063449,175.0317245,175.0317245,4,4,291,240,93,60,72.75,13.80896448,78,54,60.0,10.39230485,93,54,66.375,13.78348196,189.984375,80,80,20,4,3264.714286,21777.0,10.0,7560.121517,22853.0,22071.0,52.0,7617.666667,10223.79754,22561.0,21777.0,89.0,7520.333333,10084.02094,2,1,0,0,2,0,1,3,7,0,0,1.0,66.375,62780,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.75,60.0,0,4,4,291,240,normal
6,126342160.0,1222.9646857391072,1.408872541042515,0.3720056709494281,1.0368668700930868,47,131,7007,147505,1291,60,149.08510638297872,205.43827874552707,1514,54,1125.9923664122136,576.9029645235665,1514,54,868.0449438202247,664.4819036115612,441536.2002272441,940,2620,20,46,713797.5141242938,58450260.0,0.0,6162249.045791453,126342160.0,58450332.0,0.0,2746568.695652174,11858991.697727231,68241019.0,58450406.0,2.0,524930.9153846154,5119269.324773937,19,37,0,0,0,2,0,56,177,0,0,2.7872340425531914,868.0449438202247,64240,64240,58432610.0,242.0,6675088.6,17303194.947410632,58442621.0,6496.0,8319426.533333333,19604500.249797776,446.5,7.0,9657.23076923077,7.3076923076923075,594145.0432468397,28054525.139664803,149.08510638297872,1125.9923664122136,0,47,131,7007,147505,normal
6,65258.0,76818.16789,413.7423764,214.5330841,199.2092923,14,13,2865,2148,1299,60,204.6428571,341.473824,884,54,165.2307692,246.9257608,1299,54,185.6666667,300.3437537,90206.37037,280,260,20,13,2509.923077,25051.0,3.0,6078.619409,65258.0,25327.0,7.0,5019.846154,8865.742876,50784.0,25051.0,39.0,4232.0,7672.041591,7,5,0,0,0,2,3,12,24,0,0,0.928571429,185.6666667,64240,64240,19395.0,13094.0,16244.5,3150.5,23845.0,10408.0,16184.33333,5645.1322,81.0,5.0,0.0,0.0,206632.6531,0.0,204.6428571,165.2307692,0,14,13,2865,2148,normal
6,113544420.0,36.74332917,0.281828028,0.14972114,0.132106888,17,15,1468,2704,494,60,86.35294118,101.9647812,1502,54,180.2666667,369.9490896,1502,54,130.375,268.0930051,71873.85938,340,300,20,16,3662723.226,10244245.0,71.0,4868314.107,113544273.0,10244444.0,518.0,7096517.063,4642661.709,113523210.0,11086479.0,513.0,8108800.714,4231980.209,1,2,0,0,0,2,0,3,31,0,0,0.882352941,130.375,64240,64240,9035660.0,9143.0,4522401.5,4513258.5,10026467.0,5224.0,3857809.6,4711948.954,0.0,0.0,0.0,0.0,0.0,0.0,86.35294118,180.2666667,0,17,15,1468,2704,normal
6,225993.0,32629.32923,97.34814795,44.24915816,53.09898979,10,12,1542,5832,731,60,154.2,199.5368638,1514,54,486.0,616.2595503,1514,54,335.1818182,502.5370756,252543.5124,200,240,20,9,10761.57143,128430.0,3.0,27490.9766,225993.0,128430.0,99.0,25110.33333,37565.5784,213857.0,129294.0,3.0,19441.54545,35996.37318,4,3,0,0,1,2,1,7,20,0,0,1.2,335.1818182,64240,64239,122999.0,2457.0,62728.0,60271.0,102135.0,5471.0,32861.0,40082.07737,0.0,0.0,4535.0,4.0,0.0,412272727.3,154.2,486.0,0,10,12,1542,5832,normal
17,55765285.0,8.356453302,0.107593819,0.107593819,0.0,6,0,466,0,79,77,77.66666667,0.942809042,0,0,0.0,0.0,79,77,77.66666667,0.942809042,0.888888889,48,0,8,6,11153057.0,30660708.0,2576139.0,11150981.67,55765285.0,30660708.0,2576139.0,11153057.0,11150981.67,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,77.66666667,0,0,0.0,0.0,0.0,0.0,30660708.0,13617377.0,22139042.5,8521665.5,0.0,0.0,0.0,0.0,0.0,0.0,77.66666667,0.0,0,6,0,466,0,normal
6,24.0,5333333.333,83333.33333,41666.66667,41666.66667,1,1,74,54,74,74,74.0,0.0,54,54,54.0,0.0,74,54,64.0,10.0,100.0,20,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0,1.0,64.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,54.0,0,1,1,74,54,normal
6,195630.0,36298.11378622911,107.34549915657108,51.116904360271946,56.228594796299134,10,11,1539,5562,728,60,153.9,198.669801429407,1514,54,505.6363636363636,629.1873940723099,1514,54,338.1428571428572,506.9700174955673,257018.59863945583,200,220,20,9,9781.5,111630.0,3.0,24617.07022068223,195630.0,111630.0,69.0,21736.666666666668,33050.840715479535,175345.0,111962.0,3.0,17534.5,32606.948680457663,4,3,0,0,1,2,1,7,19,0,0,1.1,338.1428571428572,64240,64239,108912.0,16652.0,62782.0,46130.0,84027.0,10274.0,34639.0,28956.25620656096,0.0,0.0,0.0,0.0,0.0,0.0,153.9,505.6363636363636,0,10,11,1539,5562,normal
17,90587.0,93424.0012363805,143.5084504399086,55.1955578615033,88.31289257840528,5,8,1819,6644,1399,73,363.8,518.2861757755072,1399,69,830.5,584.32482404909,1399,69,651.0,604.1375289171779,364982.1538461539,40,64,8,5,7548.916666666667,24529.0,7.0,8733.810045433907,66058.0,30480.0,912.0,16514.5,10818.543467121626,69059.0,38799.0,7.0,9865.57142857143,15745.169951967066,0,0,0,0,0,0,0,0,0,0,0,1.6,651.0,0,0,0.0,0.0,0.0,0.0,21528.0,18870.0,20199.0,1329.0,0.0,0.0,5630.0,5.0,0.0,87968750.0,363.8,830.5,0,5,8,1819,6644,normal
6,117748408.0,725.5724426,0.934195221,0.271765882,0.662429338,32,78,4886,80549,1000,60,152.6875,223.0383147,1514,54,1032.679487,650.3613097,1514,54,776.6818182,688.5758812,474136.7442,640,1560,20,31,1080260.624,10240769.0,3.0,3074333.492,117748408.0,10240890.0,119.0,3798335.742,4786409.748,117730612.0,11052310.0,3.0,1528968.987,3601849.93,7,19,0,0,2,2,0,26,109,0,0,2.4375,776.6818182,64240,64239,8957494.0,4542.0,2234790.8,3464159.988,9933051.0,8194.0,3059126.571,4189783.356,0.0,0.0,10159.16667,7.333333333,0.0,18629278.73,152.6875,1032.679487,0,32,78,4886,80549,normal
6,54214483.0,13.557262918102529,0.2028978123797657,0.1106715340253267,0.0922262783544389,6,5,370,365,100,54,61.66666666666666,17.14318782749839,100,60,73.0,16.61324772583615,100,54,66.81818181818181,17.821428275677683,317.603305785124,120,100,20,1,5421448.3,54178879.0,1.0,16252478.304812737,54214025.0,54179281.0,46.0,10842805.0,21668239.36332472,54196222.0,54178879.0,1.0,13549055.5,23457640.56881777,2,2,0,0,2,0,0,4,11,0,0,0.8333333333333334,66.81818181818181,64240,62780,0.0,0.0,0.0,0.0,54160894.0,17985.0,27089439.5,27071454.5,0.0,0.0,0.0,0.0,0.0,0.0,61.66666666666666,73.0,0,6,5,370,365,normal
6,271041.0,28549.18628546973,81.16853169815637,36.894787135525625,44.27374456263075,10,12,1537,6201,726,60,153.7,198.09192310642044,1514,54,516.75,610.8531090477753,1514,54,351.72727272727275,504.031039972935,254047.2892561984,200,240,20,9,12906.714285714286,177278.0,3.0,37922.38871211376,271041.0,177278.0,64.0,30115.666666666668,53304.39028823049,250580.0,177524.0,3.0,22780.0,50148.84418499503,4,3,0,0,1,2,1,7,20,0,0,1.2,351.72727272727275,64240,64239,0.0,0.0,0.0,0.0,142895.0,14031.0,59092.66666666666,59313.36029559914,0.0,0.0,4904.0,4.0,0.0,544888888.8888888,153.7,516.75,0,10,12,1537,6201,normal
6,22946.0,22095.35431,348.6446439,174.322322,174.322322,4,4,291,216,93,60,72.75,13.80896448,54,54,54.0,0.0,93,54,63.375,13.53640924,183.234375,80,80,20,4,3278.0,18578.0,14.0,6378.337602,22946.0,18873.0,76.0,7648.666667,8096.616756,22575.0,18578.0,91.0,7525.0,7969.322974,2,1,0,0,2,0,0,3,8,0,0,1.0,63.375,62780,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.75,54.0,0,4,4,291,216,normal
6,117627489.0,241.1596153,0.442073536,0.178529697,0.263543839,21,31,3179,25188,714,60,151.3809524,168.161905,1514,54,812.516129,660.8827855,1514,54,545.5192308,614.0306147,377033.5958,420,620,20,20,2306421.353,58999649.0,3.0,11387772.63,117627489.0,58999649.0,38.0,5881374.45,17597215.02,58612901.0,58388340.0,3.0,1953763.367,10479643.89,9,11,0,0,0,2,0,20,51,0,0,1.476190476,545.5192308,64240,64240,58329159.0,5175.0,8349650.0,20404051.89,58984296.0,8974.0,11744719.9,23449411.18,0.0,0.0,7125.0,5.0,0.0,445000000.0,151.3809524,812.516129,0,21,31,3179,25188,normal
