protocol,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,normal
17,101521997.0,250.18223390542644,1.9601663273034315,0.9850082046750913,0.9751581226283403,100,99,15400,9999,158,148,154.0,4.381780460041329,101,101,101.0,0.0,158,101,127.63316582914572,26.68108895956044,711.880508067978,800,792,8,100,512737.3585858586,1012135.0,13901.0,493351.2132652361,101521997.0,1151561.0,876881.0,1025474.7171717172,19986.63922766851,100493859.0,1041123.9999999999,1000655.0000000001,1025447.5408163265,4849.845405001636,0,0,0,0,0,0,0,0,0,0,0,0.99,127.63316582914572,0,0,995660.0,835125.0,986238.4387755102,20330.66948367453,1008257.0,711351.0,986493.2525252525,28113.086973483634,0,0,0,0,0,0,154.0,101.0,0,100,99,15400,9999,dnscat
6,386.0,709844.5595854922,10362.694300518135,5181.347150259067,5181.347150259067,2,2,132,142,78,54,66.0,12.0,82,60,71.0,11.0,82,54,68.5,11.779218989389747,138.75,40,40,20,1,128.66666666666666,203.0,53.0,61.24450088692771,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,4,0,0,1.0,68.5,64240,64022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,71.0,0,2,2,132,142,normal
17,28856.0,7069.586914333241,69.30967563071805,34.65483781535902,34.65483781535902,1,1,86,118,86,86,86.0,0.0,118,118,118.0,0.0,118,86,102.0,16.0,256.0,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,102.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,118.0,0,1,1,86,118,normal
17,26349.0,8653.079813275646,75.90420888838285,37.95210444419143,37.95210444419143,1,1,86,142,86,86,86.0,0.0,142,142,142.0,0.0,142,86,114.0,28.0,784.0,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,142.0,0,1,1,86,142,normal
6,73672.0,109268.1072863503,434.3576935606472,203.60516885655338,230.75252470409382,15,17,3065,4985,1299,60,204.33333333333334,346.94104526401725,1454,54,293.2352941176471,461.79732368874767,1454,54,251.5625,414.346921182902,171683.37109375,300,340,20,14,2376.516129032258,28579.0,7.0,6340.089069644857,73672.0,28858.0,107.0,5262.285714285715,8799.437647848148,54203.0,28579.0,77.0,3387.6875,7404.784709216316,7,8,0,0,2,2,0,15,31,0,0,1.1333333333333333,251.5625,64240,64239,0,0,0,0,19007.0,9572.0,13087.0,4210.528470394185,2021.0,4.0,0,0,1420238.931834153197470133521,0,204.33333333333334,293.2352941176471,0,15,17,3065,4985,normal
17,153645.0,1171.5317777994728,13.017019753327475,6.508509876663737,6.508509876663737,1,1,90,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,1,1,90,90,normal
17,17053.0,30141.324107195218,117.28141675951446,58.64070837975723,58.64070837975723,1,1,89,425,89,89,89.0,0.0,425,425,425.0,0.0,425,89,257.0,168.0,28224.0,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,257.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,425.0,0,1,1,89,425,normal
17,59427611.0,264.3552337986462,2.0192634026631158,1.0096317013315579,1.0096317013315579,60,60,6209,9501,215,101,103.48333333333333,15.193739573331587,386,148,158.35,30.184336445690942,386,101,130.91666666666666,36.38076033045794,1323.5597222222218,480,480,8,60,499391.6890756303,1011850.0,316.0,489523.1683817941,59411922.0,1042936.0000000001,17796.0,1006981.7288135593,129944.29208557557,59042150.0,1139987.0,15092.0,1000714.406779661,138503.75834380795,0,0,0,0,0,0,0,0,0,0,0,1.0,130.91666666666666,0,0,996203.0,642699.0,980111.5614035088,49351.272540879065,995130.0,272014.0,963964.7627118644,122703.99511561768,0,0,0,0,0,0,103.48333333333333,158.35,0,60,60,6209,9501,dnscat
17,19591.0,10412.944719514062,102.08769332856923,51.043846664284615,51.043846664284615,1,1,86,118,86,86,86.0,0.0,118,118,118.0,0.0,118,86,102.0,16.0,256.0,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,102.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,118.0,0,1,1,86,118,normal
17,19389.0,11759.244932693795,103.15127133941925,51.57563566970963,51.57563566970963,1,1,86,142,86,86,86.0,0.0,142,142,142.0,0.0,142,86,114.0,28.0,784.0,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,142.0,0,1,1,86,142,normal
