src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.57.139,172.217.12.97,45940,443,6,2024-04-19 18:31:33,23349.0,21713.99203392008,342.62709323739773,171.31354661869887,171.31354661869887,4,4,291,216,93,60,72.75,13.808964479641476,54,54,54.0,0.0,93,54,63.375,13.536409235835034,183.234375,80,80,20,4,3335.5714285714284,22177.0,45.0,7693.946263267038,23349.0,22478.0,99.0,7783.0,10394.565920069326,22945.0,22177.0,125.0,7648.333333333333,10275.495035385022,2,1,0,0,2,0,0,3,8,0,0,1.0,63.375,62780,64239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.75,54.0,0,4,4,291,216
192.168.57.139,142.250.189.163,38662,443,6,2024-04-19 18:31:33,23241.0,21814.89608880857,344.219267673508,172.109633836754,172.109633836754,4,4,291,216,93,60,72.75,13.808964479641476,54,54,54.0,0.0,93,54,63.375,13.536409235835034,183.234375,80,80,20,4,3320.1428571428573,22549.0,23.0,7850.476917788796,23241.0,22888.0,29.0,7747.0,10706.981118254887,22843.0,22549.0,80.0,7614.333333333333,10560.54576662063,2,1,0,0,2,0,0,3,8,0,0,1.0,63.375,62780,64239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.75,54.0,0,4,4,291,216
192.168.57.139,172.64.41.4,40888,443,6,2024-04-19 18:34:01,92768658.0,1991.1897399658405,10.553133149775649,4.8507762179765495,5.702356931799099,450,529,60913,123807,269,60,135.36222222222221,63.36118611715567,1514,54,234.03969754253308,338.733865585398,1514,54,188.682328907048,257.41715091576054,66263.58958558743,9000,10580,20,450,94855.47852760737,6338587.0,0.0,628740.792350527,92768658.0,6338587.0,0.0,206611.71046770603,915438.0872640013,92765917.0,6381667.0,5.0,175693.02462121213,849529.5235759716,332,189,0,0,0,0,0,521,979,0,0,1.1755555555555555,188.682328907048,65535,64240,6137336.0,1081.0,1679495.18,2061815.403072794,6295696.0,5138.0,1411014.25,2032545.2221102763,601.4745762711865,5.593220338983051,0,0,800681.3925678572234380993209,0,135.36222222222221,234.03969754253308,0,450,529,60913,123807
142.251.46.163,192.168.57.139,443,56972,6,2024-04-19 18:30:45,54126441.0,13.191334711994088,0.20322784570299016,0.110851552201631,0.09237629350135916,6,5,363,351,93,54,60.5,14.534441853748634,93,60,70.2,13.362634470792052,93,54,64.9090909090909,14.822921718219485,219.71900826446287,120,100,20,1,5412644.1,54080329.0,8.0,16222563.857449738,54126011.0,54080738.0,106.0,10825202.2,21627769.959962618,54105000.0,54080329.0,115.0,13526250.0,23413910.177063826,2,2,0,0,2,0,0,4,11,0,0,0.8333333333333334,64.9090909090909,64240,63910,0,0,0,0,54059060.0,21099.0,18033809.333333332,25473699.040439736,0,0,0,0,0,0,60.5,70.2,0,6,5,363,351
34.120.208.123,192.168.57.139,443,55222,6,2024-04-19 18:30:45,54126354.0,13.191355915087131,0.20322817236128635,0.11085173037888346,0.09237644198240288,6,5,363,351,93,54,60.5,14.534441853748634,93,60,70.2,13.362634470792052,93,54,64.9090909090909,14.822921718219485,219.71900826446287,120,100,20,1,5412635.4,54081820.0,71.0,16223063.713075347,54125935.0,54082216.0,130.0,10825187.0,21628516.579185963,54106337.0,54081820.0,104.0,13526584.25,23414578.223081496,2,2,0,0,2,0,0,4,11,0,0,0.8333333333333334,64.9090909090909,64240,64028,0,0,0,0,54062027.0,19793.0,27040910.0,27021117.0,0,0,0,0,0,0,60.5,70.2,0,6,5,363,351
142.250.72.196,192.168.57.139,443,41128,6,2024-04-19 18:30:45,53098860.0,12.429645382217245,0.1883279603366249,0.09416398016831246,0.09416398016831246,5,5,309,351,93,54,61.8,15.6,93,60,70.2,13.362634470792052,93,54,66.0,15.119523802024982,228.6,100,100,20,1,5899873.333333333,53080922.0,37.0,16681020.510177506,53098428.0,53081291.0,244.0,13274607.0,22982400.68581112,53098654.0,53080922.0,128.0,13274663.5,22982155.103150602,2,2,0,0,2,0,0,4,10,0,0,1.0,66.0,64240,63000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.8,70.2,0,5,5,309,351
192.168.57.139,34.120.115.102,53384,443,6,2024-04-19 18:31:35,23408.0,21659.261790840737,341.76349965823647,170.88174982911823,170.88174982911823,4,4,291,216,93,60,72.75,13.808964479641476,54,54,54.0,0.0,93,54,63.375,13.536409235835034,183.234375,80,80,20,4,3344.0,22262.0,50.0,7724.142800337135,23408.0,22777.0,59.0,7802.666666666667,10590.523636198961,22697.0,22262.0,116.0,7565.666666666667,10392.207411752754,2,1,0,0,2,0,0,3,8,0,0,1.0,63.375,62780,64239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.75,54.0,0,4,4,291,216
192.168.57.139,192.168.57.2,49872,53,17,2024-04-19 18:31:38,20429.0,9985.804493612022,97.90004405501983,48.95002202750992,48.95002202750992,1,1,86,118,86,86,86.0,0.0,118,118,118.0,0.0,118,86,102.0,16.0,256.0,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,102.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,118.0,0,1,1,86,118
192.168.57.139,192.168.57.2,46711,53,17,2024-04-19 18:31:38,27756.0,8214.440121054908,72.05649228995533,36.028246144977665,36.028246144977665,1,1,86,142,86,86,86.0,0.0,142,142,142.0,0.0,142,86,114.0,28.0,784.0,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,142.0,0,1,1,86,142
192.168.57.139,74.125.166.6,36140,443,17,2024-04-19 18:34:11,92724929.0,82698.26769023463,64.73987162610823,5.252093533552341,59.487778092555885,487,5516,109714,7558477,1399,71,225.28542094455852,404.06659068192664,1399,67,1370.2822697606962,185.50584446206403,1399,67,1277.393136764951,377.61818011658534,142595.48995456187,3896,44128,8,487,15449.005164945018,8171656.0,0.0,291459.99524076696,92722463.0,8184449.000000001,0.0,190786.96090534978,1009406.5465778181,92705687.0,8187428.000000001,4.0,16809.734723481415,304921.3451191485,0,0,0,0,0,0,0,0,0,0,0,11.326488706365502,1277.393136764951,0,0,8170604.000000001,10060.0,2565916.1515151514,2751882.1915255827,8158863.0,8161.0,2074749.8181818181,2697343.705454938,0,0,30480.53982300885,22.575221238938052,0,77647797.46607150908517065693,225.28542094455852,1370.2822697606962,0,487,5516,109714,7558477
