protocol,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,normal
6,105156587,1524.155591,7.940539188,3.737283714,4.203255475,393,442,53230,107045,269,60,135.4452926,63.4324604,1514,54,242.1832579,381.3943345,1514,54,191.9461078,285.88647,81731.07374,7860,8840,20,393,126087.0348,7031811,0,712801.9246,105156587,7031811,0,268256.5995,1021211.412,105156239,7036462,4,238449.5215,970888.6427,290,136,0,0,0,0,0,426,835,0,0,1.124681934,191.9461078,65535,64240,7021333,463,2154526.304,2116579.862,7027333,5442,1777142.759,2072548.986,659.0217391,6.086956522,1186,4,747484.9591,1633608.815,135.4452926,242.1832579,0,393,442,53230,107045,normal
17,101151972,69495.2739,52.89071379,2.441870337,50.44884345,247,5103,103796,6925788,1399,73,420.2267206,560.7476404,1399,69,1357.199295,224.7798663,1399,69,1313.940935,318.3880408,101370.9445,1976,40824,8,247,18910.44532,6963869,4,289275.0033,101136579,6978849,9,411124.3049,1291171.265,101132842,6978220,4,19822.19561,297284.3902,0,0,0,0,0,0,0,0,0,0,0,20.65991903,1313.940935,0,0,6957473,6616,2319417.186,2247858.891,6948889,5495,1690683.593,2173251.477,187,5.666666667,103315.625,76.65625,107863.8723,73480319.16,420.2267206,1357.199295,0,247,5103,103796,6925788,normal
6,104138558,90.82130751,0.384103648,0.16324405,0.220859597,17,23,7388,2070,826,93,434.5882353,315.5508832,193,54,90,60.59918209,826,54,236.45,271.011342,73447.1475,340,460,20,17,2670219.436,32313386,22,7878654.118,104138499,32313532,87,6508656.188,11239325.62,104138403,32313554,26,4733563.773,10013660.63,17,6,0,0,0,0,0,23,40,0,0,1.352941176,236.45,65535,64240,32284591,36327,13106154.5,13102062.48,32312380,37490,14827809.71,12852941.99,0,0,0,0,0,0,434.5882353,90,0,17,23,7388,2070,normal
17,104452175,125.4162491,0.18190143,0.18190143,0,19,0,13100,0,1048,360,689.4736842,216.1221313,0,0,0,0,1048,360,689.4736842,216.1221313,46708.77562,152,0,8,19,5802898.611,19968262,41001,6324237.135,104452175,19968262,41001,5802898.611,6324237.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689.4736842,0,0,19888910,506873,6707924.5,7821197.495,15620071,94756,4254541.818,4666476.83,0,0,0,0,0,0,689.4736842,0,0,19,0,13100,0,normal
17,113730240,4.176549702,0.052756417,0.052756417,0,6,0,475,0,86,75,79.16666667,3.387066905,0,0,0,0,86,75,79.16666667,3.387066905,11.47222222,48,0,8,6,22746048,58837793,71,24362371.66,113730240,58837793,71,22746048,24362371.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.16666667,0,0,0,0,0,0,58837793,41302562,50070177.5,8767615.5,0,0,0,0,0,0,79.16666667,0,0,6,0,475,0,normal
17,122254062,20.93999952,0.196312496,0.196312496,0,24,0,2560,0,147,79,106.6666667,24.80703305,0,0,0,0,147,79,106.6666667,24.80703305,615.3888889,192,0,8,24,5315394,37424960,228784,9663681.628,122254062,37424960,228784,5315394,9663681.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.6666667,0,0,35072745,893495,10082626.38,13941798.71,34895231,39409,6485347.462,11619248.39,0,0,0,0,0,0,106.6666667,0,0,24,0,2560,0,normal
17,117686333,30.94666906,0.093468797,0.093468797,0,11,0,3642,0,769,75,331.0909091,331.1515595,0,0,0,0,769,75,331.0909091,331.1515595,109661.3554,88,0,8,11,11768633.3,43011318,1000874,13952857.54,117686333,43011318,1000874,11768633.3,13952857.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331.0909091,0,0,29876323,9272852,19574587.5,10301735.5,40010554,796814,11737213.29,12775912.93,0,0,0,0,0,0,331.0909091,0,0,11,0,3642,0,normal
6,117328274,55.11033087,0.272739033,0.119323327,0.153415706,14,18,2611,3855,1290,60,186.5,311.2162202,1514,54,214.1666667,348.0648487,1514,54,202.0625,332.729708,110709.0586,280,360,20,13,3784783.032,58895452,9,14388768.08,117328274,58895452,106,9025251.846,21128364.41,117314901,58937717,9,6900876.529,18876749.27,8,8,0,0,0,2,0,16,31,0,0,1.285714286,202.0625,64240,64240,58228903,7347,19415428.67,27445270.92,58853408,12831,23428347.6,28672962.53,427,4,1972,4,374890.2546,2750348.675,186.5,214.1666667,0,14,18,2611,3855,normal
6,117312682,132.2874879,0.323920648,0.127863414,0.196057234,15,23,2190,13329,735,60,146,172.0577422,1514,54,579.5217391,634.8319784,1514,54,408.3947368,548.1939985,300516.66,300,460,20,14,3170613.027,58907497,5,13247056.77,117312682,58907497,34,8379477.286,20497160.96,117302954,58951808,5,5331952.455,16847825.91,8,9,0,0,0,2,0,17,37,0,0,1.533333333,408.3947368,64240,64240,58253896,7403,14572153.25,25219666.06,58863319,9210,19532685,27599473.34,0,0,8209,7,0,15695984.7,146,579.5217391,0,15,23,2190,13329,normal
6,117131836,223.722268,0.435406818,0.170747772,0.264659046,20,31,3187,23018,1297,60,159.35,270.3322539,1514,54,742.516129,652.0841956,1514,54,513.8235294,606.7844759,368187.4002,400,620,20,19,2342636.72,58903479,3,11460481.87,117131836,58903479,133,6164833.474,17946459.67,117116295,58946686,3,3903876.5,14593924.7,9,14,0,0,0,2,0,23,50,0,0,1.55,513.8235294,64240,64240,58052101,11951,11623429,23214336.44,58860385,11693,16717232,26403646.6,636,4,5600,4,406389.7764,64367816.09,159.35,742.516129,0,20,31,3187,23018,normal
6,114082573,9.703497834,0.140249291,0.070124646,0.070124646,8,8,597,510,93,60,74.625,15.32920008,93,54,63.75,16.88749537,93,54,69.1875,17.01917577,289.6523438,160,160,20,8,7605504.867,58952054,12,19385769.79,114082573,58952054,45,16297510.43,25761310.02,114081915,58993868,69,16297416.43,25775157.58,4,3,0,0,2,0,0,7,16,0,0,1,69.1875,63910,64239,0,0,0,0,58910563,10771,28493939,28506337.17,0,0,0,0,0,0,74.625,63.75,0,8,8,597,510,normal
6,97958915,1212.324575,6.451684362,2.960424786,3.491259576,290,342,39533,79225,269,60,136.3206897,63.04478911,1514,54,231.6520468,375.0170896,1514,54,187.9082278,283.1697133,80185.08651,5800,6840,20,290,155243.9223,7005599,0,806203.1433,97958915,7005599,0,338958.1834,1164860.791,97958293,7006078,4,287267.7214,1080814.261,217,109,0,0,0,0,0,326,632,0,0,1.179310345,187.9082278,65535,64240,6994171,118,2494542.243,2189381.912,6992907,6130,2239559.837,2194122.103,616.7105263,5.710526316,0,0,836366.8808,0,136.3206897,231.6520468,0,290,342,39533,79225,normal
6,94871152,162.5046147,0.569193046,0.326758971,0.242434075,31,23,3970,11447,1344,54,128.0645161,229.245598,1514,60,497.6956522,465.0503886,1514,54,285.5,394.5789481,155692.5463,620,460,20,9,1790021.736,30278273,0,5609039.54,94871152,30278455,22,3162371.733,7158400.947,94870419,30278479,0,4312291.773,8057167.9,9,20,0,0,0,0,0,29,54,0,0,0.741935484,285.5,64240,65535,30225499,4994987,15181434.5,8489197.985,30230926,2874626,13430858.14,8991169.351,0,0,4680,5,0,6125654.45,128.0645161,497.6956522,0,31,23,3970,11447,normal
17,96984489,64941.21962,49.13156783,2.051874501,47.07969333,199,4566,87775,6210516,1399,74,441.080402,570.1310733,1399,69,1360.165572,216.8824924,1399,69,1321.781952,304.0609801,92453.07963,1592,36528,8,199,20357.78526,7050223,1,308613.2159,96980998,7061589,11,489803.0202,1438812.995,96969427,7069787,4,21241.93363,316386.8132,0,0,0,0,0,0,0,0,0,0,0,22.94472362,1321.781952,0,0,7045090,7063,2548773.528,2386048.703,7038857,5244,1807333.396,2301299.664,0,0,104024.7719,77.15789474,0,73294008.58,441.080402,1360.165572,0,199,4566,87775,6210516,normal
17,28542,7147.361783,70.07217434,35.03608717,35.03608717,1,1,86,118,86,86,86,0,118,118,118,0,118,86,102,16,256,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,118,0,1,1,86,118,normal
17,28351,8042.044372,70.54424888,35.27212444,35.27212444,1,1,86,142,86,86,86,0,142,142,142,0,142,86,114,28,784,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,142,0,1,1,86,142,normal
17,108029826,102.9530493,0.138850543,0.138850543,0,15,0,11122,0,1296,251,741.4666667,288.3922945,0,0,0,0,1296,251,741.4666667,288.3922945,83170.11556,120,0,8,15,7716416.143,55658818,141,14104892.06,108029826,55658818,141,7716416.143,14104892.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741.4666667,0,0,55484382,5918216,24038022,22321872.44,50920115,285992,11600298.29,16314666.51,0,0,0,0,0,0,741.4666667,0,0,15,0,11122,0,normal
